#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.795638E-01   0.332729E+07   0.331404E+07  -0.157233E+02  -0.157298E+02   0.363492E+06   0.331105E+07   0.332506E+07   0.331105E+07  -0.747344E-01   0.167620E+07   0.167612E+07   0.310478E+00
   0.822872E-01   0.317973E+07   0.316572E+07  -0.140479E+02  -0.140537E+02   0.332476E+06   0.316392E+07   0.317738E+07   0.316392E+07  -0.714135E-01   0.160173E+07   0.160165E+07   0.338933E+00
   0.850105E-01   0.303710E+07   0.302228E+07  -0.125717E+02  -0.125769E+02   0.304255E+06   0.302169E+07   0.303461E+07   0.302169E+07  -0.682033E-01   0.152975E+07   0.152966E+07   0.364899E+00
   0.877338E-01   0.290108E+07   0.288550E+07  -0.112745E+02  -0.112792E+02   0.278724E+06   0.288607E+07   0.289846E+07   0.288607E+07  -0.651420E-01   0.146111E+07   0.146100E+07   0.384946E+00
   0.904571E-01   0.277310E+07   0.275692E+07  -0.101378E+02  -0.101420E+02   0.255751E+06   0.275848E+07   0.277038E+07   0.275848E+07  -0.622623E-01   0.139653E+07   0.139642E+07   0.396772E+00
   0.931804E-01   0.265435E+07   0.263780E+07  -0.914468E+01  -0.914844E+01   0.235203E+06   0.264013E+07   0.265157E+07   0.264013E+07  -0.595910E-01   0.133663E+07   0.133651E+07   0.399173E+00
   0.959037E-01   0.254578E+07   0.252913E+07  -0.827961E+01  -0.828301E+01   0.216929E+06   0.253198E+07   0.254298E+07   0.253198E+07  -0.571498E-01   0.128188E+07   0.128177E+07   0.391931E+00
   0.986270E-01   0.244801E+07   0.243154E+07  -0.752814E+01  -0.753123E+01   0.200762E+06   0.243462E+07   0.244525E+07   0.243462E+07  -0.549524E-01   0.123260E+07   0.123249E+07   0.375677E+00
   0.101350E+00   0.236120E+07   0.234519E+07  -0.687641E+01  -0.687924E+01   0.186519E+06   0.234823E+07   0.235851E+07   0.234823E+07  -0.530025E-01   0.118887E+07   0.118877E+07   0.351706E+00
   0.104074E+00   0.228497E+07   0.226968E+07  -0.631102E+01  -0.631362E+01   0.173990E+06   0.227242E+07   0.228240E+07   0.227242E+07  -0.512913E-01   0.115050E+07   0.115040E+07   0.321788E+00
   0.106797E+00   0.221842E+07   0.220405E+07  -0.581910E+01  -0.582149E+01   0.162955E+06   0.220629E+07   0.221600E+07   0.220629E+07  -0.497986E-01   0.111702E+07   0.111693E+07   0.287960E+00
   0.109520E+00   0.216023E+07   0.214693E+07  -0.538862E+01  -0.539083E+01   0.153183E+06   0.214851E+07   0.215800E+07   0.214851E+07  -0.484945E-01   0.108778E+07   0.108770E+07   0.252343E+00
   0.112244E+00   0.210884E+07   0.209667E+07  -0.500870E+01  -0.501076E+01   0.144454E+06   0.209751E+07   0.210680E+07   0.209751E+07  -0.473434E-01   0.106196E+07   0.106189E+07   0.216964E+00
   0.114967E+00   0.206255E+07   0.205153E+07  -0.466986E+01  -0.467178E+01   0.136568E+06   0.205159E+07   0.206070E+07   0.205159E+07  -0.463070E-01   0.103872E+07   0.103865E+07   0.183625E+00
   0.117690E+00   0.201969E+07   0.200977E+07  -0.436405E+01  -0.436584E+01   0.129346E+06   0.200909E+07   0.201803E+07   0.200909E+07  -0.453476E-01   0.101720E+07   0.101715E+07   0.153795E+00
   0.120414E+00   0.197869E+07   0.196976E+07  -0.408461E+01  -0.408629E+01   0.122638E+06   0.196842E+07   0.197719E+07   0.196842E+07  -0.444296E-01   0.996614E+06   0.996567E+06   0.128547E+00
   0.123137E+00   0.193816E+07   0.193006E+07  -0.382621E+01  -0.382778E+01   0.116320E+06   0.192818E+07   0.193680E+07   0.192818E+07  -0.435214E-01   0.976246E+06   0.976206E+06   0.108532E+00
   0.125860E+00   0.189693E+07   0.188950E+07  -0.358476E+01  -0.358623E+01   0.110299E+06   0.188724E+07   0.189569E+07   0.188724E+07  -0.425972E-01   0.955520E+06   0.955484E+06   0.939808E-01
   0.128583E+00   0.185422E+07   0.184725E+07  -0.335735E+01  -0.335873E+01   0.104510E+06   0.184478E+07   0.185305E+07   0.184478E+07  -0.416388E-01   0.934025E+06   0.933993E+06   0.847357E-01
   0.131307E+00   0.180961E+07   0.180290E+07  -0.314217E+01  -0.314346E+01   0.989167E+05   0.180039E+07   0.180848E+07   0.180039E+07  -0.406370E-01   0.911556E+06   0.911524E+06   0.803106E-01
   0.134030E+00   0.176307E+07   0.175647E+07  -0.293828E+01  -0.293949E+01   0.935089E+05   0.175407E+07   0.176196E+07   0.175407E+07  -0.395915E-01   0.888107E+06   0.888075E+06   0.799616E-01
   0.136753E+00   0.171496E+07   0.170829E+07  -0.274540E+01  -0.274653E+01   0.882947E+05   0.170615E+07   0.171384E+07   0.170615E+07  -0.385099E-01   0.863848E+06   0.863814E+06   0.827718E-01
   0.139477E+00   0.166583E+07   0.165898E+07  -0.256360E+01  -0.256465E+01   0.832924E+05   0.165720E+07   0.166468E+07   0.165720E+07  -0.374050E-01   0.839067E+06   0.839030E+06   0.877380E-01
   0.142200E+00   0.161637E+07   0.160927E+07  -0.239307E+01  -0.239405E+01   0.785230E+05   0.160791E+07   0.161518E+07   0.160791E+07  -0.362924E-01   0.814114E+06   0.814074E+06   0.938519E-01
   0.144923E+00   0.156730E+07   0.155990E+07  -0.223397E+01  -0.223489E+01   0.740073E+05   0.155900E+07   0.156606E+07   0.155900E+07  -0.351884E-01   0.789353E+06   0.789310E+06   0.100172E+00
   0.147647E+00   0.151932E+07   0.151162E+07  -0.208636E+01  -0.208722E+01   0.697624E+05   0.151117E+07   0.151803E+07   0.151117E+07  -0.341090E-01   0.765142E+06   0.765096E+06   0.105880E+00
   0.150370E+00   0.147310E+07   0.146514E+07  -0.195022E+01  -0.195102E+01   0.658004E+05   0.146511E+07   0.147176E+07   0.146511E+07  -0.330692E-01   0.741821E+06   0.741771E+06   0.110322E+00
