#           k/h    P           
    0.87780E+00    0.78822E+02
    0.89553E+00    0.75285E+02
    0.91362E+00    0.71902E+02
    0.93208E+00    0.68665E+02
    0.95091E+00    0.65567E+02
    0.97011E+00    0.62605E+02
    0.98971E+00    0.59771E+02
    0.10097E+01    0.57060E+02
    0.10301E+01    0.54468E+02
    0.10509E+01    0.51988E+02
    0.10721E+01    0.49618E+02
    0.10938E+01    0.47352E+02
    0.11159E+01    0.45185E+02
    0.11384E+01    0.43115E+02
    0.11614E+01    0.41135E+02
    0.11849E+01    0.39244E+02
    0.12088E+01    0.37437E+02
    0.12333E+01    0.35710E+02
    0.12582E+01    0.34060E+02
    0.12836E+01    0.32484E+02
    0.13095E+01    0.30979E+02
    0.13360E+01    0.29541E+02
    0.13630E+01    0.28168E+02
    0.13905E+01    0.26857E+02
    0.14186E+01    0.25605E+02
    0.14472E+01    0.24410E+02
    0.14765E+01    0.23269E+02
    0.15063E+01    0.22179E+02
    0.15367E+01    0.21139E+02
    0.15678E+01    0.20147E+02
    0.15994E+01    0.19200E+02
    0.16318E+01    0.18296E+02
    0.16647E+01    0.17433E+02
    0.16984E+01    0.16610E+02
    0.17327E+01    0.15825E+02
    0.17677E+01    0.15076E+02
    0.18034E+01    0.14362E+02
    0.18398E+01    0.13680E+02
    0.18770E+01    0.13030E+02
    0.19149E+01    0.12411E+02
    0.19536E+01    0.11819E+02
    0.19930E+01    0.11256E+02
    0.20333E+01    0.10718E+02
    0.20744E+01    0.10206E+02
    0.21163E+01    0.97175E+01
    0.21590E+01    0.92518E+01
    0.22026E+01    0.88080E+01
    0.22471E+01    0.83849E+01
    0.22925E+01    0.79817E+01
    0.23388E+01    0.75975E+01
    0.23861E+01    0.72313E+01
    0.24343E+01    0.68824E+01
    0.24835E+01    0.65499E+01
    0.25336E+01    0.62332E+01
    0.25848E+01    0.59315E+01
    0.26370E+01    0.56440E+01
    0.26903E+01    0.53702E+01
    0.27447E+01    0.51094E+01
    0.28001E+01    0.48610E+01
    0.28567E+01    0.46244E+01
    0.29144E+01    0.43992E+01
    0.29733E+01    0.41846E+01
    0.30333E+01    0.39804E+01
    0.30946E+01    0.37859E+01
    0.31571E+01    0.36007E+01
    0.32209E+01    0.34244E+01
    0.32860E+01    0.32566E+01
    0.33523E+01    0.30968E+01
    0.34201E+01    0.29448E+01
    0.34892E+01    0.28001E+01
    0.35596E+01    0.26623E+01
    0.36316E+01    0.25312E+01
    0.37049E+01    0.24065E+01
    0.37798E+01    0.22878E+01
    0.38561E+01    0.21748E+01
    0.39340E+01    0.20673E+01
    0.40135E+01    0.19651E+01
    0.40946E+01    0.18678E+01
    0.41773E+01    0.17753E+01
    0.42617E+01    0.16872E+01
    0.43478E+01    0.16035E+01
    0.44356E+01    0.15238E+01
    0.45252E+01    0.14481E+01
    0.46166E+01    0.13760E+01
    0.47099E+01    0.13075E+01
    0.48050E+01    0.12423E+01
    0.49021E+01    0.11803E+01
    0.50011E+01    0.11214E+01
    0.51021E+01    0.10654E+01
    0.52052E+01    0.10121E+01
    0.53104E+01    0.96147E+00
    0.54176E+01    0.91332E+00
    0.55271E+01    0.86755E+00
    0.56387E+01    0.82404E+00
    0.57526E+01    0.78267E+00
    0.58689E+01    0.74336E+00
    0.59874E+01    0.70599E+00
    0.61084E+01    0.67047E+00
    0.62318E+01    0.63672E+00
    0.63577E+01    0.60464E+00
    0.64861E+01    0.57415E+00
    0.66171E+01    0.54519E+00
    0.67508E+01    0.51766E+00
    0.68872E+01    0.49151E+00
    0.70263E+01    0.46665E+00
    0.71682E+01    0.44304E+00
    0.73130E+01    0.42061E+00
    0.74608E+01    0.39930E+00
    0.76115E+01    0.37906E+00
    0.77653E+01    0.35983E+00
    0.79221E+01    0.34156E+00
    0.80822E+01    0.32421E+00
    0.82454E+01    0.30773E+00
    0.84120E+01    0.29207E+00
    0.85819E+01    0.27721E+00
    0.87553E+01    0.26309E+00
    0.89322E+01    0.24968E+00
    0.91126E+01    0.23695E+00
    0.92967E+01    0.22485E+00
    0.94845E+01    0.21337E+00
    0.96761E+01    0.20247E+00
    0.98716E+01    0.19212E+00
    0.10071E+02    0.18229E+00
    0.10274E+02    0.17296E+00
    0.10482E+02    0.16410E+00
    0.10694E+02    0.15569E+00
    0.10910E+02    0.14771E+00
    0.11130E+02    0.14013E+00
    0.11355E+02    0.13294E+00
    0.11584E+02    0.12611E+00
    0.11818E+02    0.11963E+00
    0.12057E+02    0.11347E+00
    0.12301E+02    0.10763E+00
    0.12549E+02    0.10209E+00
    0.12803E+02    0.96834E-01
    0.13061E+02    0.91843E-01
    0.13325E+02    0.87107E-01
    0.13594E+02    0.82612E-01
    0.13869E+02    0.78347E-01
    0.14149E+02    0.74300E-01
    0.14435E+02    0.70460E-01
    0.14727E+02    0.66817E-01
    0.15024E+02    0.63360E-01
    0.15328E+02    0.60080E-01
    0.15637E+02    0.56969E-01
    0.15953E+02    0.54017E-01
    0.16275E+02    0.51216E-01
    0.16604E+02    0.48559E-01
    0.16940E+02    0.46039E-01
    0.17282E+02    0.43649E-01
    0.17631E+02    0.41381E-01
    0.17987E+02    0.39230E-01
    0.18351E+02    0.37190E-01
    0.18721E+02    0.35255E-01
    0.19099E+02    0.33420E-01
    0.19485E+02    0.31680E-01
    0.19879E+02    0.30029E-01
    0.20280E+02    0.28464E-01
    0.20690E+02    0.26979E-01
    0.21108E+02    0.25571E-01
    0.21535E+02    0.24236E-01
    0.21970E+02    0.22971E-01
    0.22413E+02    0.21770E-01
    0.22866E+02    0.20632E-01
    0.23328E+02    0.19553E-01
    0.23799E+02    0.18530E-01
    0.24280E+02    0.17560E-01
    0.24771E+02    0.16640E-01
    0.25271E+02    0.15768E-01
    0.25782E+02    0.14942E-01
    0.26302E+02    0.14158E-01
    0.26834E+02    0.13415E-01
    0.27376E+02    0.12711E-01
    0.27929E+02    0.12043E-01
    0.28493E+02    0.11411E-01
    0.29069E+02    0.10811E-01
    0.29656E+02    0.10242E-01
    0.30255E+02    0.97034E-02
    0.30866E+02    0.91927E-02
    0.31490E+02    0.87086E-02
    0.32126E+02    0.82498E-02
    0.32775E+02    0.78150E-02
    0.33437E+02    0.74030E-02
    0.34112E+02    0.70125E-02
    0.34801E+02    0.66424E-02
    0.35504E+02    0.62917E-02
    0.36222E+02    0.59594E-02
    0.36953E+02    0.56445E-02
    0.37700E+02    0.53461E-02
    0.38462E+02    0.50633E-02
    0.39239E+02    0.47954E-02
    0.40031E+02    0.45416E-02
    0.40840E+02    0.43010E-02
    0.41665E+02    0.40732E-02
    0.42507E+02    0.38573E-02
    0.43365E+02    0.36527E-02
    0.44241E+02    0.34590E-02
    0.45135E+02    0.32754E-02
    0.46047E+02    0.31015E-02
    0.46977E+02    0.29367E-02
    0.47926E+02    0.27807E-02
    0.48894E+02    0.26328E-02
    0.49882E+02    0.24928E-02
    0.50890E+02    0.23601E-02
    0.51918E+02    0.22345E-02
    0.52966E+02    0.21155E-02
    0.54036E+02    0.20027E-02
    0.55128E+02    0.18960E-02
    0.56242E+02    0.17948E-02
    0.57378E+02    0.16991E-02
    0.58537E+02    0.16084E-02
    0.59720E+02    0.15225E-02
    0.60926E+02    0.14411E-02
    0.62157E+02    0.13641E-02
    0.63412E+02    0.12911E-02
    0.64693E+02    0.12220E-02
    0.66000E+02    0.11566E-02
    0.67334E+02    0.10946E-02
    0.68694E+02    0.10360E-02
    0.70082E+02    0.98044E-03
    0.71497E+02    0.92784E-03
    0.72942E+02    0.87804E-03
