# x	rho
7.254901960784314596e-01 9.999829678732603533e-01
7.647058823529411242e-01 9.999182501398657941e-01
8.039215686274507888e-01 9.996077180097289183e-01
8.431372549019604534e-01 9.981198274908684720e-01
8.823529411764701180e-01 9.910390914094757697e-01
9.215686274509806708e-01 9.584035817974047022e-01
9.607843137254903354e-01 8.275878525121953544e-01
1.000000000000000000e+00 5.000000000000000000e-01
1.039215686274509665e+00 1.724121474878047011e-01
1.078431372549019329e+00 4.159641820259529776e-02
1.117647058823528994e+00 8.960908590524618855e-03
1.156862745098039547e+00 1.880172509131472491e-03
1.196078431372549211e+00 3.922819902710261708e-04
1.235294117647058876e+00 8.174986013426144282e-05
1.274509803921568540e+00 1.703212673964671353e-05
1.313725490196078205e+00 3.548366659666957190e-06
1.352941176470587870e+00 7.392366050407161993e-07
1.392156862745097534e+00 1.540059400007010026e-07
1.431372549019608087e+00 3.208420473743700541e-08
1.470588235294117752e+00 6.684132414225274488e-09
1.509803921568627416e+00 1.392511550513120255e-09
1.549019607843137081e+00 2.901032192248464980e-10
1.588235294117646745e+00 6.043748834727580288e-11
1.627450980392156410e+00 1.259098381112266907e-11
1.666666666666666963e+00 2.623068429130626100e-12
1.705882352941176627e+00 5.464517727205020492e-13
1.745098039215686292e+00 1.138533711753098032e-13
1.784313725490195957e+00 2.370326157574709214e-14
1.823529411764705621e+00 4.940492459581946605e-15
1.862745098039215286e+00 1.054711873393898713e-15
1.901960784313725839e+00 2.220446049250313081e-16
1.941176470588235503e+00 5.551115123125782702e-17
1.980392156862745168e+00 0.000000000000000000e+00
2.019607843137254832e+00 0.000000000000000000e+00
2.058823529411764497e+00 0.000000000000000000e+00
2.098039215686274161e+00 0.000000000000000000e+00
2.137254901960783826e+00 0.000000000000000000e+00
2.176470588235294379e+00 0.000000000000000000e+00
2.215686274509804043e+00 0.000000000000000000e+00
2.254901960784313708e+00 0.000000000000000000e+00
2.294117647058823373e+00 0.000000000000000000e+00
2.333333333333333037e+00 0.000000000000000000e+00
2.372549019607842702e+00 0.000000000000000000e+00
2.411764705882353255e+00 0.000000000000000000e+00
2.450980392156862919e+00 0.000000000000000000e+00
2.490196078431372584e+00 0.000000000000000000e+00
2.529411764705882248e+00 0.000000000000000000e+00
2.568627450980391913e+00 0.000000000000000000e+00
2.607843137254901578e+00 0.000000000000000000e+00
2.647058823529411242e+00 0.000000000000000000e+00
2.686274509803921795e+00 0.000000000000000000e+00
2.725490196078431460e+00 0.000000000000000000e+00
2.764705882352941124e+00 0.000000000000000000e+00
2.803921568627450789e+00 0.000000000000000000e+00
2.843137254901960453e+00 0.000000000000000000e+00
2.882352941176470118e+00 0.000000000000000000e+00
2.921568627450980671e+00 0.000000000000000000e+00
2.960784313725490335e+00 0.000000000000000000e+00
3.000000000000000000e+00 0.000000000000000000e+00
3.039215686274509665e+00 0.000000000000000000e+00
3.078431372549019329e+00 0.000000000000000000e+00
3.117647058823528994e+00 0.000000000000000000e+00
3.156862745098038658e+00 0.000000000000000000e+00
3.196078431372548323e+00 0.000000000000000000e+00
3.235294117647057988e+00 0.000000000000000000e+00
3.274509803921567652e+00 0.000000000000000000e+00
3.313725490196079093e+00 0.000000000000000000e+00
3.352941176470588758e+00 0.000000000000000000e+00
3.392156862745098422e+00 0.000000000000000000e+00
3.431372549019608087e+00 0.000000000000000000e+00
3.470588235294117752e+00 0.000000000000000000e+00
3.509803921568627416e+00 0.000000000000000000e+00
3.549019607843137081e+00 0.000000000000000000e+00
3.588235294117646745e+00 0.000000000000000000e+00
